1,0.8
2,0.803
3,0.892
4,0.871
5,0.936
6,0.949
7,0.937
8,0.941
9,0.934
10,0.931
11,0.926
12,0.954
13,0.943
14,0.939
15,0.904
16,0.949
17,0.946
18,0.938
19,0.955
20,0.955
21,0.802
22,0.793
23,0.81
24,0.793
25,0.744
26,0.807
vanilla,0.787
random,0.717
1,0.483
1,0.618
1,0.591
1,0.781
2,0.784
3,0.825
4,0.87
5,0.83
6,0.873
7,0.823
8,0.886
9,0.863
10,0.902
11,0.926
12,0.944
13,0.961
14,0.762
15,0.686
16,0.725
17,0.8
18,0.808
19,0.797
20,0.717
21,0.691
22,0.734
23,0.77
24,0.715
25,0.723
26,0.816
vanilla,0.795
random,0.722
