1,0.281
2,0.32
3,0.365
4,0.417
5,0.432
6,0.405
7,0.484
8,0.418
9,0.456
10,0.447
11,0.382
12,0.432
13,0.398
14,0.417
15,0.424
16,0.42
17,0.389
18,0.432
19,0.432
20,0.48
21,0.394
22,0.423
23,0.435
24,0.45
25,0.406
26,0.433
