degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random,  Target 
8.0,0.14285714285714285,2.0,1.0,1.0,0.4330127018922193,0.0030302737889544838,0.14285714285714285,5.0,0.016806722689075633,0.0,0.0,1.0,1.0,0.0,0.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.2586651871103973,
12.0,0.22857142857142856,2.0,1.0,1.25,0.3726779962499649,0.19097249843691091,0.2906593406593406,13.250000000000002,0.2672268907563025,0.0,0.0,1.0,1.0,1.0,1.0,12.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6958174685683441,
2.0,0.34285714285714286,2.0,1.0,1.1666666666666667,0.5,0.6779630642335256,0.32857142857142857,15.783333333333337,0.33109243697478996,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5437699876270778,
1.0,0.05714285714285714,2.0,2.0,1.5,0.0,0.020588551005341345,0.1679365079365079,7.449999999999999,0.03697478991596639,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.2564481424921956,
2.0,0.02857142857142857,12.0,8.0,2.0,2.0,0.059480639903934,0.17175324675324674,7.126190476190476,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.30095864299772707,
1.0,0.05714285714285714,8.0,8.0,1.0,0.0,2.7900409075093448e-05,0.05714285714285714,2.0,0.0016806722689075631,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15978241829438306,
1.0,0.05714285714285714,8.0,8.0,1.0,0.0,2.7900409075093448e-05,0.05714285714285714,2.0,0.0016806722689075631,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2989425080745054,
1.0,0.02857142857142857,8.0,8.0,5.0,0.0,0.0013551790800625625,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.02404444947512492,
2.0,0.02857142857142857,8.0,2.0,5.0,3.0,0.0013551790800625625,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8129635842445414,
1.0,0.02857142857142857,8.0,8.0,5.0,0.0,0.0013551790800625625,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2530070646754172,
1.0,0.02857142857142857,8.0,8.0,5.0,0.0,0.0013551790800625625,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.008442111314517392,
1.0,0.02857142857142857,8.0,8.0,5.0,0.0,0.0013551790800625625,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2470120560025784,
1.0,0.05714285714285714,12.0,12.0,10.0,0.0,0.24902832541564773,0.3148809523809524,11.916666666666666,0.2184873949579832,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.22484129310436,
1.0,0.02857142857142857,12.0,12.0,8.0,0.0,0.05642624409013338,0.20424710424710424,8.366666666666667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.9351267877190692,
1.0,0.02857142857142857,12.0,12.0,8.0,0.0,0.05642624409013338,0.20424710424710424,8.366666666666667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6555179791214196,
1.0,0.02857142857142857,12.0,12.0,8.0,0.0,0.05642624409013338,0.20424710424710424,8.366666666666667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5693471793631888,
1.0,0.05714285714285714,12.0,12.0,5.0,0.0,0.06263876368451005,0.21591836734693878,9.283333333333333,0.07058823529411765,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.243397684558542,
1.0,0.02857142857142857,12.0,12.0,8.0,0.0,0.05642624409013338,0.20424710424710424,8.366666666666667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0125436429057473,
1.0,0.02857142857142857,12.0,12.0,8.0,0.0,0.05642624409013338,0.20424710424710424,8.366666666666667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4555248883531318,
1.0,0.02857142857142857,12.0,12.0,8.0,0.0,0.05642624409013338,0.20424710424710424,8.366666666666667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.685237291505314,
1.0,0.02857142857142857,12.0,12.0,12.0,0.0,0.19260208136741583,0.22226890756302523,9.283333333333331,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1238044824879616,
1.0,0.02857142857142857,12.0,12.0,12.0,0.0,0.19260208136741583,0.22226890756302523,9.283333333333331,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1857770740054874,
2.0,0.02857142857142857,12.0,1.0,12.0,5.5,0.19260208136741583,0.22226890756302523,9.283333333333331,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3841792346667623,
1.0,0.02857142857142857,2.0,2.0,12.0,0.0,0.19260208136741583,0.22226890756302523,9.283333333333331,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9390387238113881,


