degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random,  Target 
9.0,0.14285714285714285,2.0,1.0,1.0,0.4714045207910317,0.005779177715023207,0.14285714285714285,5.0,0.016806722689075633,0.0,0.0,1.0,1.0,0.0,0.0,9.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.05119411492124002,
12.0,0.2571428571428571,2.0,1.0,1.3333333333333333,0.4330127018922193,0.334760234578313,0.3022857142857143,13.916666666666668,0.2680672268907563,0.0,0.0,1.0,0.0,1.0,1.0,12.0,2.0,9.0,0.0,0.043478260869565216,0.0,0.0,1.0,0.0,1.2023222500632753,
2.0,0.34285714285714286,2.0,1.0,1.25,0.5,0.6195169476058482,0.32857142857142857,15.783333333333337,0.3134453781512605,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,12.0,0.0,0.03125,0.0,0.0,1.0,0.0,0.2669230964597391,
1.0,0.05714285714285714,2.0,2.0,1.5,0.0,0.0316838280375278,0.17175324675324674,7.583333333333334,0.03697478991596639,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.057974322559956416,
1.0,0.02857142857142857,9.0,9.0,2.0,0.0,0.050711175743791054,0.17175324675324674,7.126190476190476,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4904921963993032,
1.0,0.05714285714285714,9.0,9.0,1.0,0.0,0.0001281510863332858,0.05714285714285714,2.0,0.0016806722689075631,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.47707545551991043,
2.0,0.05714285714285714,12.0,9.0,1.0,1.5,0.0001281510863332858,0.05714285714285714,2.0,0.0016806722689075631,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.6885456784204966,
1.0,0.02857142857142857,9.0,9.0,5.0,0.0,0.002584545887908651,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0856112824525743,
1.0,0.02857142857142857,9.0,9.0,5.0,0.0,0.002584545887908651,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3302410983738333,
2.0,0.02857142857142857,9.0,2.0,5.0,3.5,0.002584545887908651,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9010440899385546,
1.0,0.02857142857142857,9.0,9.0,5.0,0.0,0.002584545887908651,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8443143166400526,
1.0,0.02857142857142857,9.0,9.0,5.0,0.0,0.002584545887908651,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5406530034535226,
2.0,0.02857142857142857,12.0,9.0,9.0,1.5,0.09407927338813808,0.2099206349206349,8.616666666666667,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5490636346502371,
