degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random,  Target 
11.0,0.1388888888888889,3.0,1.0,1.0,0.616575453011388,0.009097077106727618,0.1388888888888889,5.0,0.015873015873015872,0.0,0.0,1.0,1.0,0.0,0.0,11.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.057485193622802,
10.0,0.3055555555555555,3.0,1.0,1.2727272727272727,0.6403124237432849,0.5442215027309222,0.3141025641025641,14.666666666666668,0.23015873015873015,0.0,0.0,1.0,0.0,1.0,1.0,10.0,2.0,11.0,0.0,0.034482758620689655,0.0,0.0,1.0,0.0,0.576295786723547,
1.0,0.2777777777777778,3.0,3.0,1.3,0.0,0.44435031351708176,0.2987804878048781,14.000000000000004,0.2111111111111111,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,10.0,0.0,0.038461538461538464,0.0,0.0,1.0,0.0,-0.7909804549606322,
2.0,0.05555555555555555,11.0,10.0,1.0,0.5,0.0002703922754042242,0.05555555555555555,2.0,0.0015873015873015873,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5727574667303575,
1.0,0.027777777777777776,11.0,11.0,3.0,0.0,0.08437470870076902,0.2076271186440678,7.999999999999997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4826121460586583,
1.0,0.05555555555555555,11.0,11.0,1.0,0.0,0.0002703922754042242,0.05555555555555555,2.0,0.0015873015873015873,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1019074990612143,
1.0,0.05555555555555555,11.0,11.0,1.0,0.0,0.0002703922754042242,0.05555555555555555,2.0,0.0015873015873015873,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5337958635791531,
1.0,0.027777777777777776,11.0,11.0,5.0,0.0,0.004068258084996201,0.0771604938271605,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7805845692962902,
1.0,0.027777777777777776,11.0,11.0,5.0,0.0,0.004068258084996201,0.0771604938271605,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5706381400943067,
1.0,0.027777777777777776,11.0,11.0,5.0,0.0,0.004068258084996201,0.0771604938271605,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.046425508198233,
3.0,0.027777777777777776,11.0,1.0,5.0,4.496912521077347,0.004068258084996201,0.0771604938271605,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7659288515229236,
1.0,0.027777777777777776,11.0,11.0,5.0,0.0,0.004068258084996201,0.0771604938271605,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.19649193189815634,
1.0,0.05555555555555555,11.0,11.0,10.5,0.0,0.2767439073473913,0.2987804878048781,11.333333333333332,0.07142857142857142,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.05555555555555555,0.0,0.0,1.0,0.0,1.5035518869076352,
1.0,0.027777777777777776,11.0,11.0,11.0,0.0,0.15180610853129375,0.2076271186440678,8.666666666666666,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9073058856976447,
