original_feature_index,feature_index,p_x1_y0,p_x1_y1,diff,abs_diff
235,78,0.09022556390977443,0.6466165413533834,0.556390977443609,0.556390977443609
276,119,0.10526315789473684,0.6541353383458647,0.5488721804511278,0.5488721804511278
223,66,0.17293233082706766,0.6842105263157895,0.5112781954887218,0.5112781954887218
269,112,0.37593984962406013,0.8270676691729323,0.45112781954887216,0.45112781954887216
241,84,0.22556390977443608,0.5864661654135338,0.3609022556390977,0.3609022556390977
304,147,0.6842105263157895,0.3684210526315789,-0.31578947368421056,0.31578947368421056
275,118,0.6691729323308271,0.3533834586466165,-0.31578947368421056,0.31578947368421056
199,42,0.23308270676691728,0.5338345864661654,0.30075187969924816,0.30075187969924816
281,124,0.48120300751879697,0.18796992481203006,-0.2932330827067669,0.2932330827067669
263,106,0.46616541353383456,0.7443609022556391,0.27819548872180455,0.27819548872180455
251,94,0.43609022556390975,0.16541353383458646,-0.2706766917293233,0.2706766917293233
234,77,0.5263157894736842,0.7894736842105263,0.26315789473684215,0.26315789473684215
209,52,0.2706766917293233,0.015037593984962405,-0.2556390977443609,0.2556390977443609
219,62,0.518796992481203,0.7669172932330827,0.24812030075187963,0.24812030075187963
290,133,0.6691729323308271,0.9022556390977443,0.23308270676691722,0.23308270676691722
226,69,0.23308270676691728,0.015037593984962405,-0.21804511278195488,0.21804511278195488
182,25,0.10526315789473684,0.3157894736842105,0.21052631578947367,0.21052631578947367
312,155,0.7142857142857143,0.5112781954887218,-0.20300751879699253,0.20300751879699253
252,95,0.47368421052631576,0.6766917293233082,0.20300751879699247,0.20300751879699247
248,91,0.42857142857142855,0.6240601503759399,0.19548872180451132,0.19548872180451132
296,139,0.38345864661654133,0.18796992481203006,-0.19548872180451127,0.19548872180451127
257,100,0.6390977443609023,0.45112781954887216,-0.18796992481203012,0.18796992481203012
317,160,0.6541353383458647,0.8421052631578947,0.18796992481203,0.18796992481203
264,107,0.48872180451127817,0.6466165413533834,0.15789473684210525,0.15789473684210525
291,134,0.48872180451127817,0.6466165413533834,0.15789473684210525,0.15789473684210525
293,136,0.46616541353383456,0.3082706766917293,-0.15789473684210525,0.15789473684210525
308,151,0.7593984962406015,0.9172932330827067,0.1578947368421052,0.1578947368421052
244,87,0.42857142857142855,0.5789473684210527,0.1503759398496241,0.1503759398496241
232,75,0.5789473684210527,0.42857142857142855,-0.1503759398496241,0.1503759398496241
302,145,0.8421052631578947,0.9924812030075187,0.15037593984962405,0.15037593984962405
306,149,0.3233082706766917,0.47368421052631576,0.15037593984962405,0.15037593984962405
297,140,0.3007518796992481,0.16541353383458646,-0.13533834586466165,0.13533834586466165
228,71,0.14285714285714285,0.007518796992481203,-0.13533834586466165,0.13533834586466165
243,86,0.44360902255639095,0.3082706766917293,-0.13533834586466165,0.13533834586466165
286,129,0.5789473684210527,0.45112781954887216,-0.1278195488721805,0.1278195488721805
266,109,0.23308270676691728,0.3609022556390977,0.12781954887218044,0.12781954887218044
260,103,0.24812030075187969,0.12030075187969924,-0.12781954887218044,0.12781954887218044
214,57,0.18796992481203006,0.3157894736842105,0.12781954887218044,0.12781954887218044
272,115,0.24060150375939848,0.3684210526315789,0.12781954887218044,0.12781954887218044
309,152,0.48872180451127817,0.6165413533834586,0.12781954887218044,0.12781954887218044
305,148,0.7218045112781954,0.5939849624060151,-0.1278195488721804,0.1278195488721804
285,128,0.5112781954887218,0.39097744360902253,-0.12030075187969924,0.12030075187969924
259,102,0.2932330827067669,0.17293233082706766,-0.12030075187969924,0.12030075187969924
246,89,0.18796992481203006,0.06766917293233082,-0.12030075187969924,0.12030075187969924
292,135,0.6240601503759399,0.5037593984962406,-0.12030075187969924,0.12030075187969924
261,104,0.48120300751879697,0.3609022556390977,-0.12030075187969924,0.12030075187969924
