degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random,  Target 
13.0,0.13513513513513514,2.0,1.0,1.0,0.46153846153846156,0.003726755006402653,0.13513513513513514,5.0,0.015015015015015015,0.0,0.0,1.0,1.0,0.0,0.0,13.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14157533439271255,
10.0,0.35135135135135137,2.0,1.0,1.3076923076923077,0.4,0.6226886544511088,0.3487145682267634,16.666666666666664,0.29429429429429427,0.0,0.0,1.0,1.0,1.0,1.0,10.0,2.0,13.0,0.0,0.043478260869565216,0.0,0.0,1.0,0.0,1.1486802759319765,
2.0,0.2702702702702703,2.0,2.0,1.2,0.0,0.3184894671641544,0.2917815774958632,14.41666666666667,0.22297297297297297,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,10.0,0.0,0.058823529411764705,0.0,0.0,1.0,0.0,-1.365411099740809,
2.0,0.05405405405405406,13.0,10.0,2.0,1.5,0.10040058902908074,0.17650984317650983,8.016666666666666,0.0007507507507507507,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.7769057570258873,
1.0,0.02702702702702703,13.0,13.0,1.0,0.0,7.153080626492619e-06,0.02702702702702703,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5739345981895493,
1.0,0.05405405405405406,13.0,13.0,1.0,0.0,8.263938679840264e-05,0.05405405405405406,2.0,0.0015015015015015015,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.160930998285428,
2.0,0.05405405405405406,13.0,2.0,1.0,5.5,8.263938679840264e-05,0.05405405405405406,2.0,0.0015015015015015015,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.008917331348101337,
1.0,0.02702702702702703,13.0,13.0,5.0,0.0,0.0016666677859727798,0.07507507507507508,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7924183434612538,
2.0,0.02702702702702703,13.0,2.0,5.0,5.5,0.0016666677859727798,0.07507507507507508,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.041580215194280616,
1.0,0.02702702702702703,13.0,13.0,5.0,0.0,0.0016666677859727798,0.07507507507507508,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6228880165018104,
1.0,0.02702702702702703,13.0,13.0,5.0,0.0,0.0016666677859727798,0.07507507507507508,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.067765528838606,
2.0,0.02702702702702703,13.0,10.0,5.0,1.5,0.0016666677859727798,0.07507507507507508,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.639399773957089,
1.0,0.05405405405405406,13.0,13.0,11.5,0.0,0.25036245676024527,0.3177177177177177,12.333333333333334,0.08783783783783784,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.05,0.0,0.0,1.0,0.0,-0.4322652813337618,
1.0,0.02702702702702703,13.0,13.0,13.0,0.0,0.1644616319312527,0.22694122694122693,9.666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.26827014916690006,
1.0,0.02702702702702703,13.0,13.0,13.0,0.0,0.1644616319312527,0.22694122694122693,9.666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.033515747716577116,
1.0,0.05405405405405406,13.0,13.0,7.5,0.0,0.19090864917290995,0.23438192290651305,10.333333333333332,0.015765765765765764,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.08333333333333333,0.0,0.0,1.0,0.0,1.7037062804139345,
1.0,0.02702702702702703,10.0,10.0,13.0,0.0,0.1644616319312527,0.22694122694122693,9.666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.07078102468670687,
1.0,0.05405405405405406,10.0,10.0,7.5,0.0,0.19090864917290995,0.23438192290651305,10.333333333333332,0.015765765765765764,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.08333333333333333,0.0,0.0,1.0,0.0,0.04188118456129054,
1.0,0.02702702702702703,10.0,10.0,13.0,0.0,0.1644616319312527,0.22694122694122693,9.666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.051268674555051075,
1.0,0.02702702702702703,10.0,10.0,13.0,0.0,0.1644616319312527,0.22694122694122693,9.666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.581437871587373,
1.0,0.05405405405405406,10.0,10.0,11.5,0.0,0.25036245676024527,0.3177177177177177,12.333333333333334,0.08783783783783784,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.05,0.0,0.0,1.0,0.0,-0.8016256678489598,
1.0,0.02702702702702703,10.0,10.0,13.0,0.0,0.1644616319312527,0.22694122694122693,9.666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.8542337983525017,
1.0,0.02702702702702703,10.0,10.0,13.0,0.0,0.1644616319312527,0.22694122694122693,9.666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8849918909966219,
1.0,0.02702702702702703,10.0,10.0,13.0,0.0,0.1644616319312527,0.22694122694122693,9.666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.21643991198980614,


