dataset,original_feature_index,feature_index,p_x1_y0,p_x1_y1,diff,abs_diff
CHEMBL1163125,73,73,28150.260869565216,32042.318840579712,3892.0579710144957,3892.0579710144957
CHEMBL1163125,66,66,2875.623188405797,3147.391304347826,271.768115942029,271.768115942029
CHEMBL1163125,72,72,991.7971014492754,1231.855072463768,240.05797101449264,240.05797101449264
CHEMBL1163125,71,71,748.8212560386473,849.0821256038647,100.26086956521738,100.26086956521738
CHEMBL1163125,65,65,187.1304347826087,223.35265700483092,36.22222222222223,36.22222222222223
CHEMBL1163125,78,78,146.44444444444446,167.2753623188406,20.830917874396135,20.830917874396135
CHEMBL1163125,63,63,303.04347826086956,322.77294685990336,19.729468599033794,19.729468599033794
CHEMBL1163125,92,92,7.246376811594203,24.057971014492754,16.81159420289855,16.81159420289855
CHEMBL1163125,152,152,403.7126811594204,413.5937826086958,9.881101449275377,9.881101449275377
CHEMBL1163125,48,48,13.142754387877797,8.959744431218576,-4.183009956659221,4.183009956659221
CHEMBL1163125,67,67,28.67632850241546,32.231884057971016,3.555555555555557,3.555555555555557
CHEMBL1163125,82,82,22.144927536231883,25.333333333333332,3.1884057971014492,3.1884057971014492
CHEMBL1163125,54,54,0.16975765791926978,2.445021648202898,2.2752639902836282,2.2752639902836282
CHEMBL1163125,62,62,71.5072463768116,73.30434782608695,1.7971014492753596,1.7971014492753596
CHEMBL1163125,153,153,81.71613526570049,82.9824154589372,1.2662801932367103,1.2662801932367103
CHEMBL1914,73,73,26383.636363636364,22632.545454545456,-3751.090909090908,3751.090909090908
CHEMBL1914,66,66,2745.6272727272726,2482.4454545454546,-263.181818181818,263.181818181818
CHEMBL1914,72,72,922.3727272727273,1048.909090909091,126.53636363636372,126.53636363636372
CHEMBL1914,65,65,177.14545454545456,204.84545454545454,27.69999999999999,27.69999999999999
CHEMBL1914,153,153,84.55922727272727,57.298227272727274,-27.260999999999996,27.260999999999996
CHEMBL1914,92,92,5.0181818181818185,19.745454545454546,14.727272727272727,14.727272727272727
CHEMBL1914,63,63,294.6272727272727,283.23636363636365,-11.390909090909076,11.390909090909076
CHEMBL1914,78,78,137.3181818181818,142.92727272727274,5.609090909090924,5.609090909090924
CHEMBL1914,48,48,13.942428007479219,9.134853311640189,-4.80757469583903,4.80757469583903
CHEMBL1914,71,71,702.2272727272727,706.9636363636364,4.736363636363649,4.736363636363649
CHEMBL1914,156,156,5.290909090909091,7.909090909090909,2.618181818181818,2.618181818181818
CHEMBL1914,67,67,27.527272727272727,29.78181818181818,2.254545454545454,2.254545454545454
CHEMBL1914,145,145,3.4694854223743947,1.9111208201639944,-1.5583646022104003,1.5583646022104003
CHEMBL1914,139,139,0.8143687414810756,-0.7125654358964244,-1.5269341773775,1.5269341773775
CHEMBL1914,152,152,408.3017863636365,409.8131636363638,1.5113772727273158,1.5113772727273158
