dataset,original_feature_index,feature_index,p_x1_y0,p_x1_y1,diff,abs_diff
CHEMBL1163125,306,149,0.34782608695652173,0.7971014492753623,0.4492753623188406,0.4492753623188406
CHEMBL1163125,301,144,0.5942028985507246,0.9420289855072463,0.34782608695652173,0.34782608695652173
CHEMBL1163125,298,141,0.15458937198067632,0.47342995169082125,0.3188405797101449,0.3188405797101449
CHEMBL1163125,317,160,0.6859903381642513,0.9565217391304348,0.27053140096618356,0.27053140096618356
CHEMBL1163125,258,101,0.6038647342995169,0.855072463768116,0.25120772946859904,0.25120772946859904
CHEMBL1163125,264,107,0.45893719806763283,0.20772946859903382,-0.25120772946859904,0.25120772946859904
CHEMBL1163125,291,134,0.45893719806763283,0.21256038647342995,-0.24637681159420288,0.24637681159420288
CHEMBL1163125,307,150,0.6328502415458938,0.8792270531400966,0.24637681159420288,0.24637681159420288
CHEMBL1163125,242,85,0.5169082125603864,0.7536231884057971,0.23671497584541068,0.23671497584541068
CHEMBL1163125,262,105,0.6231884057971014,0.855072463768116,0.23188405797101452,0.23188405797101452
CHEMBL1914,234,77,0.5545454545454546,0.15,-0.40454545454545454,0.40454545454545454
CHEMBL1914,219,62,0.5590909090909091,0.18181818181818182,-0.37727272727272726,0.37727272727272726
CHEMBL1914,295,138,0.4318181818181818,0.7909090909090909,0.35909090909090907,0.35909090909090907
CHEMBL1914,285,128,0.4590909090909091,0.8090909090909091,0.35,0.35
CHEMBL1914,286,129,0.4909090909090909,0.8045454545454546,0.31363636363636366,0.31363636363636366
CHEMBL1914,307,150,0.65,0.33636363636363636,-0.31363636363636366,0.31363636363636366
CHEMBL1914,236,79,0.4909090909090909,0.17727272727272728,-0.3136363636363636,0.3136363636363636
CHEMBL1914,312,155,0.6045454545454545,0.9136363636363637,0.3090909090909092,0.3090909090909092
CHEMBL1914,243,86,0.3409090909090909,0.6454545454545455,0.3045454545454546,0.3045454545454546
CHEMBL1914,291,134,0.4818181818181818,0.17727272727272728,-0.30454545454545456,0.30454545454545456
CHEMBL204,241,84,0.17647058823529413,0.732620320855615,0.5561497326203209,0.5561497326203209
CHEMBL204,200,43,0.06951871657754011,0.5454545454545454,0.4759358288770053,0.4759358288770053
CHEMBL204,235,78,0.08021390374331551,0.5454545454545454,0.4652406417112299,0.4652406417112299
CHEMBL204,276,119,0.0962566844919786,0.5561497326203209,0.45989304812834225,0.45989304812834225
CHEMBL204,239,82,0.22994652406417113,0.6737967914438503,0.44385026737967914,0.44385026737967914
CHEMBL204,249,92,0.5240641711229946,0.8983957219251337,0.3743315508021391,0.3743315508021391
CHEMBL204,288,131,0.49732620320855614,0.8502673796791443,0.3529411764705882,0.3529411764705882
CHEMBL204,195,38,0.34759358288770054,0.679144385026738,0.3315508021390375,0.3315508021390375
CHEMBL204,234,77,0.5187165775401069,0.8342245989304813,0.31550802139037437,0.31550802139037437
CHEMBL204,248,91,0.32620320855614976,0.6310160427807486,0.30481283422459887,0.30481283422459887
CHEMBL214,285,128,0.44881889763779526,0.9212598425196851,0.4724409448818898,0.4724409448818898
CHEMBL214,286,129,0.4645669291338583,0.9291338582677166,0.4645669291338583,0.4645669291338583
CHEMBL214,288,131,0.6220472440944882,0.18110236220472442,-0.4409448818897638,0.4409448818897638
CHEMBL214,243,86,0.44881889763779526,0.889763779527559,0.4409448818897638,0.4409448818897638
CHEMBL214,295,138,0.5590551181102362,0.9133858267716536,0.35433070866141736,0.35433070866141736
CHEMBL214,275,118,0.6299212598425197,0.968503937007874,0.3385826771653543,0.3385826771653543
CHEMBL214,281,124,0.5275590551181102,0.1889763779527559,-0.3385826771653543,0.3385826771653543
CHEMBL214,304,147,0.6456692913385826,0.968503937007874,0.3228346456692913,0.3228346456692913
CHEMBL214,257,100,0.6535433070866141,0.9606299212598425,0.30708661417322836,0.30708661417322836
CHEMBL214,237,80,0.5826771653543307,0.2755905511811024,-0.3070866141732283,0.3070866141732283
CHEMBL218,288,131,0.5588235294117647,0.10784313725490197,-0.45098039215686275,0.45098039215686275
CHEMBL218,272,115,0.1568627450980392,0.47058823529411764,0.3137254901960784,0.3137254901960784
CHEMBL218,240,83,0.7156862745098039,0.4215686274509804,-0.29411764705882354,0.29411764705882354
CHEMBL218,234,77,0.5392156862745098,0.2647058823529412,-0.2745098039215686,0.2745098039215686
CHEMBL218,236,79,0.5196078431372549,0.2549019607843137,-0.26470588235294124,0.26470588235294124
CHEMBL218,253,96,0.7156862745098039,0.46078431372549017,-0.25490196078431376,0.25490196078431376
CHEMBL218,223,66,0.1568627450980392,0.4019607843137255,0.2450980392156863,0.2450980392156863
CHEMBL218,286,129,0.5098039215686274,0.7549019607843137,0.2450980392156863,0.2450980392156863
CHEMBL218,308,151,0.7745098039215687,0.5392156862745098,-0.23529411764705888,0.23529411764705888
CHEMBL218,303,146,0.5588235294117647,0.3235294117647059,-0.23529411764705882,0.23529411764705882
CHEMBL220,236,79,0.5454545454545454,0.21052631578947367,-0.33492822966507174,0.33492822966507174
CHEMBL220,219,62,0.5789473684210527,0.2535885167464115,-0.3253588516746412,0.3253588516746412
CHEMBL220,288,131,0.5358851674641149,0.22966507177033493,-0.30622009569377995,0.30622009569377995
CHEMBL220,281,124,0.4880382775119617,0.18660287081339713,-0.3014354066985646,0.3014354066985646
CHEMBL220,251,94,0.44019138755980863,0.1722488038277512,-0.2679425837320574,0.2679425837320574
CHEMBL220,308,151,0.7990430622009569,0.5406698564593302,-0.2583732057416267,0.2583732057416267
CHEMBL220,222,65,0.6985645933014354,0.4449760765550239,-0.2535885167464115,0.2535885167464115
CHEMBL220,274,117,0.7464114832535885,0.49282296650717705,-0.2535885167464115,0.2535885167464115
CHEMBL220,283,126,0.3923444976076555,0.6411483253588517,0.2488038277511962,0.2488038277511962
CHEMBL220,249,92,0.6555023923444976,0.41148325358851673,-0.24401913875598086,0.24401913875598086
CHEMBL230,287,130,0.2222222222222222,0.6783625730994152,0.45614035087719296,0.45614035087719296
