degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random,  Target 
19.0,0.11904761904761904,2.0,1.0,1.0,0.48237638894272,0.00044214242664913396,0.11904761904761904,5.0,0.011614401858304297,0.0,0.0,1.0,1.0,1.0,1.0,19.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10020268366986332,
12.0,0.45238095238095233,2.0,1.0,1.368421052631579,0.4930066485916347,0.6240353437650342,0.4242424242424242,22.33333333333333,0.351335656213705,0.0,0.0,1.0,1.0,1.0,1.0,12.0,2.0,19.0,0.0,0.09565217391304348,0.0,0.0,1.0,0.0,-1.3601351748193553,
2.0,0.2857142857142857,2.0,2.0,1.4166666666666667,0.0,0.3220193754182253,0.3111111111111111,17.416666666666668,0.20092915214866433,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,12.0,0.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.7260475976082055,
2.0,0.047619047619047616,19.0,12.0,2.0,3.5,0.06299490677150578,0.19858156028368792,9.816666666666666,0.0005807200929152149,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.11449019620203653,
1.0,0.023809523809523808,19.0,19.0,1.0,0.0,8.486418937603342e-07,0.023809523809523808,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.17863530801166322,
1.0,0.047619047619047616,19.0,19.0,1.0,0.0,9.804341566072457e-06,0.047619047619047616,2.0,0.0011614401858304297,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45195081960101724,
2.0,0.047619047619047616,19.0,2.0,1.0,8.5,9.804341566072457e-06,0.047619047619047616,2.0,0.0011614401858304297,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.784765243371608,
1.0,0.023809523809523808,19.0,19.0,5.0,0.0,0.00019773356124615782,0.06613756613756613,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16455660744561604,
2.0,0.023809523809523808,19.0,2.0,5.0,8.5,0.00019773356124615782,0.06613756613756613,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5456773962680653,
1.0,0.023809523809523808,19.0,19.0,5.0,0.0,0.00019773356124615782,0.06613756613756613,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.24106292382759095,
2.0,0.023809523809523808,19.0,12.0,5.0,3.5,0.00019773356124615782,0.06613756613756613,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.763475164825966,
1.0,0.023809523809523808,19.0,19.0,5.0,0.0,0.00019773356124615782,0.06613756613756613,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5972224767457097,
1.0,0.047619047619047616,19.0,19.0,15.5,0.0,0.20408565182940477,0.33939393939393936,14.833333333333334,0.029732868757259015,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.16,0.0,0.0,1.0,0.0,-0.9908008111462664,
2.0,0.023809523809523808,19.0,12.0,19.0,3.5,0.13444398885397513,0.2629107981220657,12.416666666666668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.661240361872601,
1.0,0.023809523809523808,19.0,19.0,19.0,0.0,0.13444398885397513,0.2629107981220657,12.416666666666668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5420479898777598,
1.0,0.047619047619047616,19.0,19.0,10.5,0.0,0.14799988699796657,0.27053140096618356,13.083333333333332,0.015098722415795587,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.05555555555555555,0.0,0.0,1.0,0.0,-0.25958238290375524,
1.0,0.023809523809523808,19.0,19.0,19.0,0.0,0.13444398885397513,0.2629107981220657,12.416666666666668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6466097409000412,
2.0,0.047619047619047616,19.0,12.0,10.5,3.5,0.14799988699796657,0.27053140096618356,13.083333333333332,0.015098722415795587,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.05555555555555555,0.0,0.0,1.0,0.0,0.20945963036509152,
2.0,0.023809523809523808,19.0,12.0,19.0,3.5,0.13444398885397513,0.2629107981220657,12.416666666666668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.081941864074388,
1.0,0.047619047619047616,19.0,19.0,15.5,0.0,0.20408565182940477,0.33939393939393936,14.833333333333334,0.029732868757259015,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.16,0.0,0.0,1.0,0.0,0.10221811275298852,
1.0,0.023809523809523808,19.0,19.0,19.0,0.0,0.13444398885397513,0.2629107981220657,12.416666666666668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8106643513102277,
1.0,0.023809523809523808,19.0,19.0,19.0,0.0,0.13444398885397513,0.2629107981220657,12.416666666666668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0199316356899222,
1.0,0.047619047619047616,12.0,12.0,15.5,0.0,0.20408565182940477,0.33939393939393936,14.833333333333334,0.029732868757259015,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.16,0.0,0.0,1.0,0.0,-0.7080382915038861,
1.0,0.023809523809523808,12.0,12.0,19.0,0.0,0.13444398885397513,0.2629107981220657,12.416666666666668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1626521790736968,
1.0,0.023809523809523808,12.0,12.0,19.0,0.0,0.13444398885397513,0.2629107981220657,12.416666666666668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5756180071549475,
1.0,0.023809523809523808,12.0,12.0,19.0,0.0,0.13444398885397513,0.2629107981220657,12.416666666666668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01966810742630413,
1.0,0.047619047619047616,12.0,12.0,15.5,0.0,0.20408565182940477,0.33939393939393936,14.833333333333334,0.029732868757259015,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.16,0.0,0.0,1.0,0.0,-1.3972914104214162,
1.0,0.047619047619047616,12.0,12.0,15.5,0.0,0.20408565182940477,0.33939393939393936,14.833333333333334,0.029732868757259015,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.16,0.0,0.0,1.0,0.0,-1.1074131414396455,
1.0,0.023809523809523808,12.0,12.0,19.0,0.0,0.13444398885397513,0.2629107981220657,12.416666666666668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7033420632430034,


