graph_id, nodes count, edges count, diameter, avg. path length, std path length, avg. degree, std. degree, skewness degree, kurtosis degree,avg. eigenvector_cent., std. eigenvector_cent., skewness eigenvector_cent., kurtosis eigenvector_cent.,avg. closeness cent., std. closeness cent., skewness closeness cent., kurtosis closeness cent.,avg. harmonic cent., std. harmonic cent., skewness harmonic cent., kurtosis harmonic cent.,avg. betweenness cent. , std. betweenness cent. , skewness betweenness cent. , kurtosis betweenness cent. ,avg. coloring LF, std. coloring LF, skewness coloring LF, kurtosis coloring LF,avg. edges within egonet, std. edges within egonet, skewness edges within egonet, kurtosis edges within egonet,avg. node clique number, std. node clique number, skewness node clique number, kurtosis node clique number,avg. number of cliques, std. number of cliques, skewness number of cliques, kurtosis number of cliques,avg. clustering coefficient, std. clustering coefficient, skewness clustering coefficient, kurtosis clustering coefficient,avg. square clustering coefficient, std. square clustering coefficient, skewness square clustering coefficient, kurtosis square clustering coefficient,avg. pagerank, std. pagerank, skewness pagerank, kurtosis pagerank,avg. hubs, std. hubs, skewness hubs, kurtosis hubs,avg. core number, std. core number, skewness core number, kurtosis core number,random,c. g_0,c. g_1,c. g_2,c. g_3,c. g_4,c. g_5,c. g_6,c. g_7,c. g_8,c. g_9,c. g_10,c. g_11,c. g_12,c. g_13,c. g_14,c. g_15,c. g_16,c. g_17,c. g_18,c. g_19,c. g_20,c. g_21,c. g_22,c. g_23,c. g_24,c. g_25,c. g_26,c. g_27,c. g_28,c. g_29,b. g_0,b. g_1,b. g_2,b. g_3,b. g_4,b. g_5,b. g_6,b. g_7,b. g_8,b. g_9,b. g_10,b. g_11,b. g_12,b. g_13,b. g_14,b. g_15,b. g_16,b. g_17,b. g_18,b. g_19,b. g_20,b. g_21,b. g_22,b. g_23,b. g_24,b. g_25,b. g_26,b. g_27,b. g_28,b. g_29,  Target
ba_s1_0,12,19.0,5,2.3055555555555554,1.430218406872889,3.1666666666666665,1.1426091000668408,0.00620702091480439,-0.5894069714803076,0.26017472914402634,0.12506975512955112,0.4306075666181024,-1.206244756112414,0.41212301587301586,0.07958292275501251,0.37949719273237154,-1.3809341076751709,5.963888888888888,0.8939569064654536,0.18880948301013925,-1.4338940831664337,0.15151515151515152,0.1920799433100118,0.8723694953467676,-0.925049458489493,1.0833333333333333,0.9537935951882998,0.40950709220601367,-0.8730260474331333,5.416666666666667,2.2157893000513886,-0.34864008304596356,-0.6660691528841713,3.25,0.5951190357119042,-0.14826495007355397,-0.5190311418685121,1.9166666666666667,1.114924013354971,0.8860655121897248,-0.665335039480667,0.6416666666666667,0.33723412023674565,-0.2675287568495948,-1.2033804232729477,0.33514954368844313,0.252602173319988,0.22755790384873043,-1.7326775819315923,0.08333333333333333,0.026975654591459928,0.15223264147555152,-0.624162185283597,0.08333333333333336,0.042846773023370456,0.38895767199073705,-1.2424396385722682,2.25,0.5951190357119042,-0.14826495007355397,-0.5190311418685121,-0.7556844965488803,19.0,22.0,9.0,23.0,6.0,0.0,13.0,5.0,1.0,19.0,14.0,0.0,4.0,14.0,3.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
ba_s1_1,12,19.0,4,2.0277777777777777,1.1051925702265424,3.1666666666666665,1.2801909579781012,0.6399115963464228,0.1637460499856367,0.2667383391625629,0.11038112046057011,0.7616510693635619,-0.21771524601053294,0.4681388026224984,0.09221421622047704,0.8848899603367725,0.13052693488930744,6.25,1.0234518570522524,0.652110121563883,-0.2533219376697913,0.12121212121212117,0.1941996360001468,1.6042358021673666,1.1504978612948547,1.1666666666666667,0.9860132971832694,0.1835192095981918,-1.1804081632653065,5.166666666666667,2.4438130497691968,0.14908713467494042,-0.5452893455922108,3.1666666666666665,0.6871842709362768,-0.22826882356360687,-0.8927335640138412,2.0,1.224744871391589,1.3608276348795434,0.7777777777777777,0.5333333333333333,0.37242946137987487,0.09320677927086486,-1.4273717872160656,0.35136935432988065,0.27745437800193196,0.914346369121259,-0.003060637688979906,0.0833333333333333,0.029671129544479372,0.7291768126649903,0.12017801393060079,0.08333333333333333,0.03553453407400402,0.7615676841344219,-0.3008670466158092,2.25,0.5951190357119042,-0.14826495007355397,-0.5190311418685121,-0.04009753079836865,19.0,27.0,8.0,30.0,12.0,2.0,16.0,4.0,1.0,11.0,28.0,3.0,11.0,29.0,5.0,0.0,5.0,8.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0
ba_s1_2,12,19.0,5,2.2222222222222223,1.346004604398413,3.1666666666666665,1.2133516482134197,1.0781508415595218,0.21573513705945224,0.26078409176337464,0.12379414693952666,0.7656517967823234,-0.3531712166215457,0.4255352033038436,0.07718206311328163,0.5813835935136762,-0.6421333338909574,6.0583333333333345,0.8524338792648486,0.8958190608439414,-0.20297453321153203,0.1424242424242424,0.21494868800638386,1.1214774624896802,-0.5506575097802058,1.3333333333333333,0.9428090415820634,-0.11048543456039783,-1.0781249999999993,5.416666666666667,2.289771944005681,0.6072690906662034,-0.7164422613043282,3.3333333333333335,0.4714045207910317,0.7071067811865466,-1.5000000000000009,1.75,1.0897247358851685,1.279898304751555,0.16066481994459814,0.7638888888888888,0.29359153198674004,-0.5864253140941801,-1.4329283094476168,0.2999985802311384,0.21475514364815626,0.12587225482862574,-1.3047871593483005,0.08333333333333333,0.028703707067796333,1.1045874824963038,0.24668329671539624,0.08333333333333336,0.042522775995959425,0.6603095603675706,-0.4944713198050539,2.3333333333333335,0.4714045207910317,0.7071067811865466,-1.5000000000000009,-1.776370313195844,19.0,23.0,9.0,16.0,9.0,0.0,18.0,4.0,1.0,14.0,8.0,2.0,8.0,14.0,4.0,0.0,0.0,7.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
ba_s1_3,16,26.0,6,2.71875,1.5955871764024678,3.25,1.14564392373896,1.995134996443359,4.476190476190476,0.22214367863379197,0.11468298061633447,1.1506818599560522,0.8524792113519641,0.35863644527701144,0.0723152973867297,0.4632830852366498,-0.7113541402865815,7.15,1.0672687103068281,1.0879790343162867,0.7138438711743031,0.13571428571428573,0.20172161504738226,1.0368051119492017,-0.547579652883516,1.5,1.0,0.0,-1.0625,5.6875,2.0832291640623697,1.3313536980620497,2.8367547825889696,3.5,0.5,0.0,-2.0,1.6875,1.0439558180306292,1.9685771096698124,3.5998766716768795,0.7648809523809523,0.28582277206247664,-0.6129693034202794,-1.2777511552544334,0.2903960112144769,0.2470432928970249,0.34083184751603435,-1.6673113811571956,0.062499999999999986,0.019513437761899,2.1472518811330956,4.977095540953726,0.0625,0.03403753701303313,1.085383808718011,0.688998109525953,2.8125,0.3903123748998999,-1.6012815380508714,0.5641025641025643,0.19458748806395545,26.0,30.0,13.0,28.0,14.0,0.0,28.0,3.0,2.0,37.0,15.0,2.0,11.0,29.0,18.0,0.0,0.0,9.0,5.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
ba_s1_4,16,26.0,6,2.78125,1.6150536949278187,3.25,1.25,1.632,2.5696000000000003,0.2046949998611776,0.14352685125729092,0.8987436026358503,-0.15197079979863082,0.35064613468543304,0.07186846934246226,0.6291423931610753,-0.4079162786976682,7.0458333333333325,1.0863339853736411,1.225526423706336,0.9716996188130915,0.14047619047619048,0.20601086425350534,1.085986833354919,-0.28455811390844765,1.4375,0.9333240326917549,-0.04864718560069635,-0.8984294878240062,5.6875,2.4165768661476505,0.7931213870477883,0.7824923658572054,3.4375,0.6091746465505602,-0.5896675581457833,-0.5821606648199444,1.8125,1.3331705629813464,2.08644976406693,3.6142977901219657,0.7273809523809524,0.3360539484008895,-0.7240147794947639,-0.903004562393269,0.3886228354978355,0.21927312303091567,-0.22827967737678168,-1.6190878542960185,0.062499999999999986,0.0213597068692283,1.5633038003957358,2.422290608463875,0.0625,0.0458808075893827,0.8578883201584929,-0.24156816161051609,2.5,0.5,0.0,-2.0,-0.885627257468018,26.0,32.0,13.0,26.0,21.0,0.0,18.0,7.0,2.0,44.0,25.0,10.0,2.0,18.0,9.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
ba_s1_5,16,26.0,6,2.78125,1.6390617552429194,3.25,1.0897247358851685,0.941811960100201,0.42659279778393344,0.21425893256640294,0.1288142453904287,0.6770603034616196,-0.39347223016228305,0.35075533914030477,0.07123457064580628,0.45441115117519787,-0.8851533508291629,7.060416666666667,1.0816794266068133,0.9173509532953695,-0.08948909681413753,0.14047619047619048,0.19386535082484677,0.8680947118389545,-1.0215864696117507,1.375,0.9921567416492215,-0.03599661647706926,-1.1141345427059712,5.6875,2.0223362109204297,-0.06924811966797322,-0.29084052402415983,3.4375,0.6091746465505602,-0.5896675581457833,-0.5821606648199444,1.8125,1.184205957593526,1.4951311164533063,1.1964680596829638,0.7333333333333333,0.33082388735465346,-0.7683478339228444,-0.7755417557782991,0.3625549485988727,0.22050644413897832,-0.18374261885767837,-1.6060529358505875,0.06249999999999999,0.018294976803333446,0.8317024175608249,0.19627789535031814,0.0625,0.040018320410134915,0.5780450679388083,-0.49400687055704573,2.5,0.5,0.0,-2.0,0.8242394693136383,26.0,29.0,13.0,37.0,12.0,0.0,19.0,5.0,2.0,26.0,35.0,3.0,7.0,38.0,5.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
ba_s1_6,12,19.0,5,2.25,1.3919410907075054,3.1666666666666665,1.0671873729054748,0.4875668663839412,-1.0101130279595485,0.2707868756058233,0.10003899906021502,0.5699311340949944,-1.0539247686736573,0.42183256172839506,0.07964586859417841,0.32562705531889774,-1.3123525735518626,6.033333333333334,0.8546170899124178,0.4165084605494819,-1.3785526047473993,0.14545454545454545,0.1910533365593711,0.8002578808819527,-1.0101564969740122,1.3333333333333333,0.9428090415820634,-0.11048543456039789,-1.0781249999999996,5.416666666666667,1.9773017529507788,0.123814900487325,-1.0776258877051075,3.3333333333333335,0.4714045207910317,0.7071067811865466,-1.5000000000000009,1.75,1.0103629710818451,0.9998427402292644,-0.3823406913785914,0.7666666666666666,0.28899570674755454,-0.5639224782970793,-1.4867036051936824,0.2385281385281385,0.2213294398651175,0.7873925509424157,-0.931769845737052,0.08333333333333331,0.024678951986879735,0.6883634183146679,-0.7222546608221805,0.08333333333333336,0.03235708056326701,0.5956715487695526,-1.0735671882253817,2.3333333333333335,0.4714045207910317,0.7071067811865466,-1.5000000000000009,1.2551488614349606,19.0,21.0,9.0,20.0,4.0,0.0,18.0,3.0,1.0,17.0,6.0,0.0,9.0,21.0,1.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
ba_s1_7,12,19.0,5,2.25,1.3514395616855712,3.1666666666666665,1.1426091000668408,0.0062070209148043865,-0.5894069714803076,0.2618300466217403,0.12156627829867367,0.4915602534835687,-1.133092655979798,0.422503663502438,0.08315785135022424,0.5260916167919573,-1.228872575143393,6.002777777777777,0.9269332483591144,0.3353093316655284,-1.2399805410425635,0.14545454545454545,0.18430122666102994,0.8264265967325772,-0.9130895507367351,1.25,0.924211375534118,0.11875648846839353,-0.9458655562165377,5.416666666666667,2.2157893000513886,-0.34864008304596344,-0.6660691528841709,3.25,0.5951190357119042,-0.14826495007355397,-0.5190311418685121,1.9166666666666667,1.114924013354971,0.8860655121897245,-0.665335039480667,0.6416666666666667,0.33723412023674565,-0.2675287568495948,-1.2033804232729477,0.31343455256498737,0.21638752695259786,0.23087652439845854,-1.6092482286903356,0.0833333333333333,0.026786305447017215,0.1666286804238859,-0.5770623344571133,0.08333333333333333,0.04106532450015667,0.4578379360201175,-1.1775662308393533,2.25,0.5951190357119042,-0.14826495007355397,-0.5190311418685121,0.3678990738028062,19.0,22.0,9.0,24.0,6.0,0.0,13.0,5.0,1.0,23.0,13.0,1.0,5.0,15.0,1.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
ba_s1_8,12,19.0,5,2.2916666666666665,1.4282613750835509,3.1666666666666665,1.1426091000668408,0.006207020914804385,-0.5894069714803076,0.2606691624188279,0.12403596694991356,0.40991499185593044,-1.1942910402541695,0.4137575454900156,0.07674911256641623,0.2979576604126986,-1.2485341893292303,5.991666666666666,0.8665197525050892,0.08844143310842167,-1.1054287348854044,0.14999999999999997,0.19111540879700128,0.8430985857295422,-0.990261968194607,1.25,0.924211375534118,0.11875648846839353,-0.9458655562165377,5.416666666666667,2.2157893000513886,-0.34864008304596344,-0.6660691528841709,3.25,0.5951190357119042,-0.14826495007355397,-0.5190311418685121,1.9166666666666667,1.114924013354971,0.8860655121897245,-0.665335039480667,0.6416666666666667,0.33723412023674565,-0.2675287568495948,-1.2033804232729477,0.25662238325281805,0.20804622000541736,0.8318417945154145,-0.8481904893406007,0.0833333333333333,0.027094635082787172,0.2566870826156707,-0.5322759987769419,0.08333333333333333,0.04222701488411261,0.37652991839002237,-1.2391733123551216,2.25,0.5951190357119042,-0.14826495007355397,-0.5190311418685121,-0.3314634539456005,19.0,22.0,9.0,20.0,4.0,0.0,17.0,4.0,1.0,19.0,5.0,0.0,10.0,14.0,2.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
ba_s1_9,16,26.0,5,2.46875,1.3342688775130747,3.25,1.4361406616345072,1.96232993986423,4.9421487603305785,0.21773168889227507,0.12285321181034525,1.1163309097052172,1.1319986745063,0.3937493057558847,0.07877396173900084,0.9336410388549965,0.6298896368696529,7.44375,1.1933245315085081,1.5137200320521191,2.254715931777228,0.11666666666666668,0.2107647235841022,1.680950973838221,1.6645734592062231,1.4375,0.9333240326917549,-0.04864718560069635,-0.8984294878240062,5.6875,2.4929588343973914,1.0113651319425594,2.6052366371019255,3.4375,0.6091746465505602,-0.5896675581457833,-0.5821606648199444,1.8125,1.4670868242881878,2.701286463060699,6.849707346154986,0.7090773809523809,0.3295106258007313,-0.6803552909096153,-0.7999502061261281,0.3264649826012123,0.2292950280887474,0.1121998510356987,-1.6179150057257556,0.06249999999999998,0.024970863469023327,2.061982214817247,5.204269768135598,0.0625,0.03677669172265263,1.0370195197228265,0.9523128672452028,2.4375,0.6091746465505602,-0.5896675581457833,-0.5821606648199444,1.371716663623238,26.0,36.0,13.0,37.0,32.0,0.0,27.0,5.0,2.0,27.0,61.0,21.0,5.0,48.0,27.0,0.0,0.0,16.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
