degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random,  Target 
16.0,0.13157894736842105,3.0,1.0,1.0,0.5994789404140899,0.001672364923892834,0.13157894736842105,5.0,0.01422475106685633,0.0,0.0,1.0,1.0,0.0,0.0,16.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.35781021898980103,
11.0,0.42105263157894735,3.0,1.0,1.375,0.6555547773570889,0.6085959468871514,0.41370869033047736,19.833333333333332,0.35561877667140823,0.0,0.0,1.0,2.0,1.0,1.0,11.0,2.0,16.0,0.0,0.07142857142857142,0.0,0.0,1.0,0.0,0.6969899682538958,
2.0,0.2894736842105263,3.0,2.0,1.5454545454545454,0.5,0.35307574189020563,0.32344497607655504,16.250000000000004,0.22005689900426742,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,11.0,0.0,0.1320754716981132,0.0,0.0,1.0,0.0,0.12033914343678288,
1.0,0.05263157894736842,2.0,2.0,2.5,0.0,0.08034684410757756,0.24369142033165103,10.250000000000002,0.00469416785206259,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.5,0.0,0.0,1.0,0.0,-0.688041522680993,
2.0,0.02631578947368421,16.0,11.0,2.0,2.5,0.03466430599599499,0.19548872180451127,8.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.07068648202253222,
1.0,0.05263157894736842,16.0,16.0,1.0,0.0,4.9707675528349774e-05,0.05263157894736842,2.0,0.001422475106685633,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.34548549522444905,
1.0,0.05263157894736842,16.0,16.0,1.0,0.0,4.9707675528349774e-05,0.05263157894736842,2.0,0.001422475106685633,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8537540447637169,
2.0,0.02631578947368421,16.0,1.0,5.0,7.5,0.000747889903852696,0.07309941520467836,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1702634052825962,
1.0,0.02631578947368421,16.0,16.0,5.0,0.0,0.000747889903852696,0.07309941520467836,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5315685396927166,
3.0,0.02631578947368421,16.0,2.0,5.0,5.792715732327589,0.000747889903852696,0.07309941520467836,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0004903515294591736,
1.0,0.02631578947368421,16.0,16.0,5.0,0.0,0.000747889903852696,0.07309941520467836,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5368150630791217,
1.0,0.02631578947368421,16.0,16.0,5.0,0.0,0.000747889903852696,0.07309941520467836,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9828441482862479,
2.0,0.05263157894736842,16.0,11.0,13.5,2.5,0.22274610937881187,0.34210526315789475,13.666666666666668,0.03883357041251778,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.13636363636363635,0.0,0.0,1.0,0.0,0.14198408802442689,
1.0,0.02631578947368421,16.0,16.0,16.0,0.0,0.14058256270842653,0.261609907120743,11.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.2582766983246703,
1.0,0.02631578947368421,16.0,16.0,16.0,0.0,0.14058256270842653,0.261609907120743,11.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.38599109208617444,
1.0,0.05263157894736842,16.0,16.0,8.5,0.0,0.1485736656021057,0.26953748006379585,11.916666666666666,0.03556187766714083,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.849273577560823,
1.0,0.02631578947368421,16.0,16.0,16.0,0.0,0.14058256270842653,0.261609907120743,11.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7143091605080357,
1.0,0.07894736842105263,16.0,16.0,9.666666666666666,0.0,0.24143331450815858,0.35578947368421054,14.333333333333332,0.0705547652916074,1.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,3.0,0.0,0.08333333333333333,0.0,0.0,1.0,0.0,1.6663790042531292,
1.0,0.02631578947368421,16.0,16.0,16.0,0.0,0.14058256270842653,0.261609907120743,11.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.15846400009266062,
2.0,0.02631578947368421,16.0,11.0,16.0,2.5,0.14058256270842653,0.261609907120743,11.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4188612333870862,
1.0,0.05263157894736842,11.0,11.0,13.5,0.0,0.22274610937881187,0.34210526315789475,13.666666666666666,0.03883357041251778,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.13636363636363635,0.0,0.0,1.0,0.0,0.508444170023728,
1.0,0.02631578947368421,11.0,11.0,16.0,0.0,0.14058256270842653,0.261609907120743,11.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.069552445456844,
1.0,0.02631578947368421,11.0,11.0,16.0,0.0,0.14058256270842653,0.261609907120743,11.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.9732326012358268,
