degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random,  Target 
12.0,0.15151515151515152,3.0,1.0,1.0,0.6454972243679028,0.003984721955720167,0.15151515151515152,5.0,0.01893939393939394,0.0,0.0,1.0,1.0,0.0,0.0,12.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6245658884303501,
10.0,0.36363636363636365,3.0,1.0,1.5,0.6708203932499369,0.5534943187061968,0.35650623885918004,15.0,0.23882575757575766,0.0,0.0,1.0,0.0,1.0,1.0,10.0,2.0,12.0,0.0,0.11864406779661017,0.0,0.0,1.0,0.0,-0.10818131935476331,
2.0,0.30303030303030304,3.0,2.0,1.5,0.5,0.42679567628644405,0.3189792663476874,13.66666666666667,0.19507575757575757,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,10.0,0.0,0.15384615384615385,0.0,0.0,1.0,0.0,0.03996708168708769,
1.0,0.06060606060606061,12.0,12.0,2.5,0.0,0.11370780568701051,0.2244668911335578,8.33333333333333,0.003598484848484849,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.5,0.0,0.0,1.0,0.0,-0.054128983851360904,
2.0,0.030303030303030304,12.0,10.0,1.0,1.0,1.2374912905963249e-05,0.030303030303030304,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6406096292670388,
1.0,0.06060606060606061,12.0,12.0,1.0,0.0,0.00011843782610829372,0.06060606060606061,2.0,0.001893939393939394,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7102605689732672,
1.0,0.030303030303030304,12.0,12.0,1.0,0.0,1.2374912905963249e-05,0.030303030303030304,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2149771436736591,
3.0,0.030303030303030304,12.0,2.0,5.0,4.320493798938574,0.0017819874584587081,0.08417508417508418,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1325892191016679,
1.0,0.030303030303030304,12.0,12.0,5.0,0.0,0.0017819874584587081,0.08417508417508418,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.771455196076477,
2.0,0.030303030303030304,12.0,10.0,5.0,1.0,0.0017819874584587081,0.08417508417508418,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6766130131443527,
2.0,0.030303030303030304,12.0,10.0,5.0,1.0,0.0017819874584587081,0.08417508417508418,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.12086242283562296,
1.0,0.030303030303030304,12.0,12.0,5.0,0.0,0.0017819874584587081,0.08417508417508418,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.515348135802309,
2.0,0.030303030303030304,12.0,2.0,12.0,5.0,0.1401442572017893,0.22870211549456834,8.666666666666666,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.707021072584111,
1.0,0.06060606060606061,12.0,12.0,11.0,0.0,0.24847042595981197,0.3108003108003108,10.833333333333334,0.029166666666666664,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.17647058823529413,0.0,0.0,1.0,0.0,-0.31119240462608955,
